4-1	僕はもう夢中。
7519-0	その場から彼等は姿を消した。
7528-0	シナモンを好みで振っても
7528-1	好みでシナモンを振っても
7529-0	もっと満開なときに来年は行きたいわ。
7529-1	来年はもっと満開なときに行きたいわ。
7534-0	光音声出力端子が旧型はついていません。
7534-1	旧型は光音声出力端子がついていません。
7537-0	韓国にこの分野は負けるよ
7537-1	この分野は韓国に負けるよ
7538-0	ホテルの近くがお子さん連れなら便利とか
7538-1	お子さん連れならホテルの近くが便利とか
7539-0	夫婦二人でお盆休みにお世話になりました。
7539-1	お盆休みに夫婦二人でお世話になりました。
7542-0	メニューを恐る恐る献上した。
7542-1	恐る恐るメニューを献上した。
7543-0	市役所通りを産業道路と結ぶ西環状線完成
7543-1	産業道路と市役所通りを結ぶ西環状線完成
7548-0	どこにも木村と松以外共演者の名前がない。
7548-1	木村と松以外共演者の名前がどこにもない。
7550-0	さんざん種厨は声優を罵っておいて
7550-1	種厨はさんざん声優を罵っておいて
7551-1	チョンは強い相手には逆らわない
7551-0	強い相手にはチョンは逆らわない
7553-0	甘い豆乳が私は好きです。
7553-1	私は甘い豆乳が好きです。
7559-1	日本人はずっと昔から言葉遊びが好きだったからねぇ
7559-0	ずっと昔から言葉遊びが日本人は好きだったからねぇ
7560-1	じゃがいもの代わりにかぶと里芋を入れます。
7560-0	かぶと里芋をじゃがいもの代わりに入れます。
7577-0	私も金沢へもちろん出動です。
7577-1	もちろん私も金沢へ出動です。
7581-0	再構成ＲＭＳとこの値を呼んでもよい。
7581-1	この値を再構成ＲＭＳと呼んでもよい。
7589-0	セキュリティーを今回は強化していました。
7589-1	今回はセキュリティーを強化していました。
7596-1	彼女は自分本位で物事を考えます。
7596-0	自分本位で物事を彼女は考えます。
7604-1	土踏まずがちょっと腫れてます。
7604-0	ちょっと土踏まずが腫れてます。
7605-0	アップでもっともっとご覧ください
7605-1	もっともっとアップでご覧ください
7613-1	市立病院で小児科外来診療を再開します
7613-0	小児科外来診療を市立病院で再開します
7614-0	孤児たちを最後の最後まで彼は見捨てなかったのである。
7614-1	彼は最後の最後まで孤児たちを見捨てなかったのである。
7615-0	コアリズを私も通販で注文してみました。
7615-1	私もコアリズを通販で注文してみました。
7616-0	元気に更新中★４人で今日も運営するネウロ・リボーン・ＢＬＥＡＣＨ中心夢サイトです。
7616-1	今日も元気に更新中★４人で運営するネウロ・リボーン・ＢＬＥＡＣＨ中心夢サイトです。
7632-0	私の本音は仲良く住吉君としたいだけなのよね。
7632-1	私の本音は住吉君と仲良くしたいだけなのよね。
7636-0	今は助けを外部に求めてください。
7636-1	今は外部に助けを求めてください。
7640-0	ホームセンターで金物は買いました。
7640-1	金物はホームセンターで買いました。
7641-1	昨年より１２日も早いそうですね。
7641-0	１２日も昨年より早いそうですね。
7642-1	日本酒が大好きな自分には物足りなさがありましたが
7642-0	物足りなさが日本酒が大好きな自分にはありましたが
7649-0	取引先の忘年会に今日は行ってきます。
7649-1	今日は取引先の忘年会に行ってきます。
7662-0	気合が更に入った様子の我らがイケメン’ズ！
7662-1	更に気合が入った様子の我らがイケメン’ズ！
7667-1	ブログの更新を月曜〜金曜に変更しました。
7667-0	月曜〜金曜にブログの更新を変更しました。
7671-1	おもしろくないからオレはよみません
7671-0	オレはおもしろくないからよみません
7677-1	お急ぎの場合はお電話での対応も大丈夫です。
7677-0	お電話での対応もお急ぎの場合は大丈夫です。
7679-0	日本は因みに１２．４％です。
7679-1	因みに日本は１２．４％です。
7680-0	コの字型で奥のテーブル席はゆったりと座れます。
7680-1	奥のテーブル席はコの字型でゆったりと座れます。
7681-1	まぁリムーバブルデバイスに保存しといたからいいけどさぁ
7681-0	リムーバブルデバイスにまぁ保存しといたからいいけどさぁ
7683-1	今日は昼も夜も友人と会ってました。
7683-0	友人と昼も夜も今日は会ってました。
7687-1	この時に一塁手がベースを踏んでいたか？
7687-0	一塁手がこの時にベースを踏んでいたか？
7688-0	最期にダイバーもいい仕事ができて満足だろうな！！
7688-1	ダイバーも最期にいい仕事ができて満足だろうな！！
7689-0	陽介の答えをあとは待つのみです。
7689-1	あとは陽介の答えを待つのみです。
7693-1	私にはまだ三菱社のＳＵＶの方が魅力的です。
7693-0	三菱社のＳＵＶの方がまだ私には魅力的です。
7701-0	とっても良いですよ眞弥さんはデスボ系ですが＾＾
7701-1	眞弥さんはデスボ系ですがとっても良いですよ＾＾
7702-1	講義中のものに少し手を加えてあります。
7702-0	少し講義中のものに手を加えてあります。
7703-0	ハウラー並にネクロは本体のみでも強いからなぁ。
7703-1	ネクロは本体のみでもハウラー並に強いからなぁ。
7705-0	基礎体温３７．１２℃今日も症状はまだ何もありません。
7705-1	基礎体温３７．１２℃今日もまだ何も症状はありません。
7710-0	そのまま消費税分が還元される。
7710-1	消費税分がそのまま還元される。
7718-0	昨シーズン終盤はリハビリ生活を左ひざの炎症で強いられた。
7718-1	昨シーズン終盤は左ひざの炎症でリハビリ生活を強いられた。
7723-1	保証金率の計算にも不備があった。
7723-0	不備が保証金率の計算にもあった。
7724-0	ゑろ猫を何とか今日はアップしたいです！
7724-1	今日は何とかゑろ猫をアップしたいです！
7729-1	今なら絶対６００万も払えんよ。
7729-0	絶対６００万も今なら払えんよ。
7730-1	これまでいろいろ乗ってきましたが，黒が最強です。
7730-0	黒がこれまでいろいろ乗ってきましたが，最強です。
7732-1	お陰でもう飛んでます！
7732-0	もうお陰で飛んでます！
7736-0	ハリがそのうち出てくれば毛穴は自然と小さくなっていきますよ。
7736-1	そのうちハリが出てくれば毛穴は自然と小さくなっていきますよ。
7739-0	利用者が少ないから田舎はいいのか？
7739-1	田舎は利用者が少ないからいいのか？
7760-0	Ｗｅｂショップをガンプラ好きなお父さんがオープンされました。
7760-1	ガンプラ好きなお父さんがＷｅｂショップをオープンされました。
7762-1	まさかリンリンが登場するとは
7762-0	リンリンがまさか登場するとは
7769-1	引退後はモデナで監督業を始める。
7769-0	モデナで引退後は監督業を始める。
7770-0	プリペイドカードでもカードは大丈夫かな？
7770-1	カードはプリペイドカードでも大丈夫かな？
7773-0	自前のインフラでＰＣデータ定額にソフトバンクは進出できるかなあ？
7773-1	ソフトバンクは自前のインフラでＰＣデータ定額に進出できるかなあ？
7775-0	フリーランスで現在は業務を行っています。
7775-1	現在はフリーランスで業務を行っています。
7791-0	自ら最近のサンドバッグは挑発してくるのか
7791-1	最近のサンドバッグは自ら挑発してくるのか
7793-1	今はもう思い出せない僕の本当の表情。
7793-0	もう今は思い出せない僕の本当の表情。
7798-1	ブッダからはあと２枚アルバムをリリースしている。
7798-0	あと２枚アルバムをブッダからはリリースしている。
7799-1	なんとなく途中からそんな気がしていた。
7799-0	そんな気が途中からなんとなくしていた。
7803-0	秘訣がそれにはあるからだ。
7803-1	それには秘訣があるからだ。
7808-1	もう喰うなよーおやすみー
7808-0	喰うなよーもうおやすみー
7813-0	それは流石にないよ
7813-1	流石にそれはないよ
7814-0	そこに和歌山行きの南海フェリーのりばがすぐある。
7814-1	和歌山行きの南海フェリーのりばがすぐそこにある。
7815-0	情報伝達部会マニュアル・グループの会議が今日はありました。
7815-1	今日は情報伝達部会マニュアル・グループの会議がありました。
7824-1	すべては天の理の内にありて
7824-0	天の理の内にすべてはありて
7827-0	毎回１軍に彼女は入ってますね。
7827-1	彼女は毎回１軍に入ってますね。
7829-0	多種多様な食材を代ゼミは私たちに提供してくれます。
7829-1	代ゼミは多種多様な食材を私たちに提供してくれます。
7835-1	見ているのがとても苦しい。
7835-0	とても見ているのが苦しい。
7841-1	その構造の延長線上にＤＣＴの構造があります。
7841-0	ＤＣＴの構造がその構造の延長線上にあります。
7844-0	心より赤ちゃんが早く良くなる事を願っています。
7844-1	赤ちゃんが早く良くなる事を心より願っています。
7845-0	コンドミニアム保険を私は探しています
7845-1	私はコンドミニアム保険を探しています
7854-1	近々ａｎｄｒｏｉｄからｉｐｈｏｎｅに機種変更します。
7854-0	ａｎｄｒｏｉｄから近々ｉｐｈｏｎｅに機種変更します。
7855-1	長野県小諸市の銀行カードローンは実質年率９．８〜１８．０％の低金利が魅力です。
7855-0	実質年率９．８〜１８．０％の低金利が長野県小諸市の銀行カードローンは魅力です。
7858-1	おいらの方は全然アップしてないんだけど
7858-0	全然おいらの方はアップしてないんだけど
7859-1	まずペットボトル入れで使ってみました
7859-0	ペットボトル入れでまず使ってみました
7864-1	短時間で使い方を習得
7864-0	使い方を短時間で習得
7865-0	予想をコイツが晒すなんてのは１００％無い。
7865-1	コイツが予想を晒すなんてのは１００％無い。
7866-0	夢を必ず今年は達成するからね。
7866-1	今年は夢を必ず達成するからね。
7869-0	休みか明日もよっ
7869-1	明日も休みかよっ
7871-1	理由は山ほど考えられます。
7871-0	山ほど理由は考えられます。
7872-0	それで今までずっとやってきた
7872-1	今までそれでずっとやってきた
7873-1	各ショップのお写真はほとんどありません！！
7873-0	ほとんど各ショップのお写真はありません！！
7876-1	楽譜には作曲家からのたくさんのメッセージが込められています。
7876-0	作曲家からのたくさんのメッセージが楽譜には込められています。
7879-0	趣向主体で性行為はするのではありません。
7879-1	性行為は趣向主体でするのではありません。
7890-1	ウッドデッキを中心に和気あいあいと楽しんでください。
7890-0	和気あいあいとウッドデッキを中心に楽しんでください。
7891-0	一瞬でせっかくの優雅な気分が台無しですね。
7891-1	せっかくの優雅な気分が一瞬で台無しですね。
7897-1	次に登録画面に行きます。
7897-0	登録画面に次に行きます。
7898-1	私も同じ思いでがあります。
7898-0	同じ思いでが私もあります。
7907-0	ペアとか少数ＰＴが最近は多いですからね。
7907-1	最近はペアとか少数ＰＴが多いですからね。
7916-1	越前は必ず共に連れ帰らなくてはいけないのだ。
7916-0	越前は共に必ず連れ帰らなくてはいけないのだ。
7925-1	みんなラブライブに行くんじゃないかな？
7925-0	ラブライブにみんな行くんじゃないかな？
7926-1	夜中にガサガサゴソゴソ騒がしくて
7926-0	ガサガサゴソゴソ夜中に騒がしくて
7928-0	空間を鉄の塊が飛んでいる。
7928-1	鉄の塊が空間を飛んでいる。
7932-0	御利益もこれでパワーアップ。
7932-1	これで御利益もパワーアップ。
7933-1	釧路空港よりバスで５０分。
7933-0	バスで釧路空港より５０分。
7937-1	今後は親力セルフチェックシートの配布などを予定しています。
7937-0	親力セルフチェックシートの配布などを今後は予定しています。
7940-0	目にこんなにかっこいい人たちが入らなかったなんて！
7940-1	こんなにかっこいい人たちが目に入らなかったなんて！
7946-1	それから二日後に葬式が執り行われた。
7946-0	葬式がそれから二日後に執り行われた。
7949-0	どれも褒め言葉に基本的には近いですよね？
7949-1	基本的にはどれも褒め言葉に近いですよね？
7954-0	オゾンがマジだ１０／７にＭステに出る！
7954-1	マジだ１０／７にオゾンがＭステに出る！
7959-0	ヨガらせたい女性はみじかにいますか？
7959-1	みじかにヨガらせたい女性はいますか？
7966-1	実は依頼主として探偵事務所へ来たのだ。
7966-0	探偵事務所へ実は依頼主として来たのだ。
7967-0	家にいるのが一番です☆寒い時は笑
7967-1	寒い時は家にいるのが一番です☆笑
7970-0	天神へ空港から地下鉄で移動。
7970-1	空港から地下鉄で天神へ移動。
7973-0	今年も財団法人日本英語検定協会から優良団体賞をＯＣＦＬはいただきました。
7973-1	ＯＣＦＬは今年も財団法人日本英語検定協会から優良団体賞をいただきました。
7981-1	もう自分がいやになる。
7981-0	自分がもういやになる。
7982-0	ほとんどトップチームは試合のみで成長の余地は無い。
7982-1	トップチームは試合のみでほとんど成長の余地は無い。
7983-0	うどんコースがホームベーカリーにはあります。
7983-1	ホームベーカリーにはうどんコースがあります。
7984-0	すぐ近くにその女はいて
7984-1	その女はすぐ近くにいて
7985-1	里中は車で待機。
7985-0	車で里中は待機。
7986-0	グループ別経営にセンター経営を細分化
7986-1	センター経営をグループ別経営に細分化
7990-0	ちょっと通常のメッキのゴールドとは違いますよ？
7990-1	通常のメッキのゴールドとはちょっと違いますよ？
7992-0	試着も会場でさせてくださったんです。
7992-1	会場で試着もさせてくださったんです。
7995-1	車内で不審物・不審者を発見された場合は乗務員もしくは駅係員
7995-0	不審物・不審者を車内で発見された場合は乗務員もしくは駅係員
7997-0	ティナのほうを今では弄るようにして正解だったかな。
7997-1	今ではティナのほうを弄るようにして正解だったかな。
7999-1	アメリカの有権者の過半が反対党の出現を望んでいるのだ。
7999-0	反対党の出現をアメリカの有権者の過半が望んでいるのだ。
8002-0	自分の練習ぜんぜんおかげでしてません。
8002-1	おかげで自分の練習ぜんぜんしてません。
8003-0	９年もかれこれお祝いをしているのか〜
8003-1	かれこれ９年もお祝いをしているのか〜
8006-1	これは何か使い道がありますか？
8006-0	何かこれは使い道がありますか？
8011-1	どうやら小沢一郎さんは双子座の水星に象徴されるようです。
8011-0	双子座の水星にどうやら小沢一郎さんは象徴されるようです。
8014-0	ちょっと泳ぎ方は不安定でした。
8014-1	泳ぎ方はちょっと不安定でした。
8017-1	じっさいにあれで銭を稼いでいるわけだが
8017-0	じっさいに銭をあれで稼いでいるわけだが
8033-0	Ｌとかそもそもいらないから
8033-1	そもそもＬとかいらないから
8035-1	回すには大きなボールが邪魔になる。
8035-0	大きなボールが回すには邪魔になる。
8039-0	日本人をそろそろ引き上げさせた方がいいかも？
8039-1	そろそろ日本人を引き上げさせた方がいいかも？
8044-1	帰りにアイドル誌をチェックしに本屋さんへ寄り道
8044-0	アイドル誌を帰りにチェックしに本屋さんへ寄り道
8045-0	人の気持ちはまぁ永遠じゃないです。
8045-1	まぁ人の気持ちは永遠じゃないです。
8048-0	なかなか文字は大きめです。
8048-1	文字はなかなか大きめです。
8053-0	本格的な乾季の到来をバリ島は迎えています。
8053-1	バリ島は本格的な乾季の到来を迎えています。
8056-1	色々とアドバイスをいただけたら幸いです。
8056-0	アドバイスを色々といただけたら幸いです。
8059-1	今期は超お買い得価格にて販売しております。
8059-0	超お買い得価格にて今期は販売しております。
8060-0	もうあと少しで今年も終わりだねー。
8060-1	今年ももうあと少しで終わりだねー。
8061-0	第一印象が新郎は大事！！
8061-1	新郎は第一印象が大事！！
8063-0	注射の痛みは私はほとんどありませんでした。
8063-1	私は注射の痛みはほとんどありませんでした。
8065-1	来年はもうちょっと控えめにしようと思ってます。
8065-0	もうちょっと来年は控えめにしようと思ってます。
8067-1	今回の学校の先生はちょっと年輩。
8067-0	ちょっと今回の学校の先生は年輩。
8075-0	本日は新座に午後から出勤♪
8075-1	本日は午後から新座に出勤♪
8077-0	初めてだから飲食業は大変です〜。
8077-1	飲食業は初めてだから大変です〜。
8078-1	パンにジャムをぬるポール牧
8078-0	ジャムをパンにぬるポール牧
8103-0	上皮内癌に前癌病変の数％は進展します。
8103-1	前癌病変の数％は上皮内癌に進展します。
8105-0	ここを絶対に押さえましょう！
8105-1	絶対にここを押さえましょう！
8109-1	コマンドプロンプトでｓｅｔｕｐと入力します。
8109-0	ｓｅｔｕｐとコマンドプロンプトで入力します。
8113-0	手をみんな抜きすぎじゃね！？
8113-1	みんな手を抜きすぎじゃね！？
8115-1	とにかくこれが聴きたかったんです。
8115-0	これがとにかく聴きたかったんです。
8117-0	医療介護の問題が高齢化で大変日本では重要になっています．
8117-1	日本では高齢化で医療介護の問題が大変重要になっています．
8122-0	味が日本のとは全く違います。
8122-1	日本のとは全く味が違います。
8125-0	１０年に最大級とか１度とかこれもまた言うんでしょうか？
8125-1	これもまた最大級とか１０年に１度とか言うんでしょうか？
8126-0	北米の伝統的な建築様式をデザインは踏襲している。
8126-1	デザインは北米の伝統的な建築様式を踏襲している。
8132-1	皆さんの回答を参考に手紙とお花を渡しました。
8132-0	手紙とお花を皆さんの回答を参考に渡しました。
8134-1	我が家ではちょっとした取り皿やケーキ皿に使っていたので
8134-0	ちょっとした取り皿やケーキ皿に我が家では使っていたので
8139-0	なぜあっさりオーナーは警察のマークからはずされたか？
8139-1	なぜオーナーはあっさり警察のマークからはずされたか？
8168-0	長福寺が右にあるらしい。
8168-1	右に長福寺があるらしい。
8172-1	ｗｉｉＵが最下位になっちまう
8172-0	最下位にｗｉｉＵがなっちまう
8175-1	最終的にはスタイルキューブの２代目社長になると予想。
8175-0	スタイルキューブの２代目社長に最終的にはなると予想。
8179-1	日本政府は１９６８年から独島を国土面積に含んでいる。
8179-0	日本政府は国土面積に１９６８年から独島を含んでいる。
8184-1	人間が幸せを感じるのに必要な行為だからです。
8184-0	幸せを人間が感じるのに必要な行為だからです。
8185-1	杏太郎くんにもおパンツラインがあるんですねーー♪
8185-0	おパンツラインが杏太郎くんにもあるんですねーー♪
8192-0	病院に至急連絡してください。
8192-1	至急病院に連絡してください。
8193-1	これは漱石カテゴリに分類しておこう。
8193-0	漱石カテゴリにこれは分類しておこう。
8195-0	少しユーザーストリームがおかしいから待たれよ
8195-1	ユーザーストリームがおかしいから少し待たれよ
8198-0	全て本体切り出しは終わっています。
8198-1	本体切り出しは全て終わっています。
8202-1	シンデレラとアリエルの２タイプでサイズは１２．５〜１９まで。
8202-0	サイズはシンデレラとアリエルの２タイプで１２．５〜１９まで。
8213-1	笠貫宏が学長になったんだよ！
8213-0	学長に笠貫宏がなったんだよ！
8214-0	モデリングマスクのあとに私は使っています！
8214-1	私はモデリングマスクのあとに使っています！
8217-1	俺も準備に入る。
8217-0	準備に俺も入る。
8230-1	明日はまだ無理かな初登校！
8230-0	まだ無理かな明日は初登校！
8231-1	ｉＰｏｄ側にも問題があるらしいが。
8231-0	問題がｉＰｏｄ側にもあるらしいが。
8234-0	視界は直線的なボディーとサイドミラーの位置関係からよさそうだ
8234-1	直線的なボディーとサイドミラーの位置関係から視界はよさそうだ
8235-0	高校入学と同時にその反動なのか大分落ち着きました。
8235-1	その反動なのか高校入学と同時に大分落ち着きました。
8236-0	トレアルバから正捕手をＣＯＬで奪った男なんだよね
8236-1	ＣＯＬでトレアルバから正捕手を奪った男なんだよね
8237-0	色々大きいサイズレディースワンピースニットワンピース下記の商品も取り扱っています。
8237-1	大きいサイズレディースワンピースニットワンピース下記の商品も色々取り扱っています。
8239-1	カウンターで返り討ちにされることは無い
8239-0	返り討ちにカウンターでされることは無い
8242-0	参加申し込みをピーチユニオン１階生協事務所にてしてください。
8242-1	ピーチユニオン１階生協事務所にて参加申し込みをしてください。
8244-1	朝からバリバリ元気でしたね。
8244-0	バリバリ朝から元気でしたね。
8248-0	オオイヌノフグリのあのブルーのお花を今朝は見かけました。
8248-1	今朝はオオイヌノフグリのあのブルーのお花を見かけました。
8249-0	安くなっているときにまとめ買いをお菓子はしたり。
8249-1	お菓子は安くなっているときにまとめ買いをしたり。
8253-1	ハリソン・フォードはインディ・ジョーンズのスタイルで出演するのか
8253-0	インディ・ジョーンズのスタイルでハリソン・フォードは出演するのか
8257-1	奥山氏もアコーステックウッドベースでがんばるそうです。
8257-0	アコーステックウッドベースで奥山氏もがんばるそうです。
8268-1	実施区域外は公共交通機関利用の実費相当額を頂きます。
8268-0	公共交通機関利用の実費相当額を実施区域外は頂きます。
8272-1	手にはかなりの力が込められていた。
8272-0	かなりの力が手には込められていた。
8273-1	いつも無人のコーナに行員がいっぱいいる。
8273-0	行員がいつも無人のコーナにいっぱいいる。
8284-1	気温だけなら秋も似たようなものですけれど
8284-0	秋も気温だけなら似たようなものですけれど
8290-1	あれが磁界を作るのです。
8290-0	磁界をあれが作るのです。
8296-0	英会話には帰国子女で自信がとても私はあります。
8296-1	私は帰国子女でとても英会話には自信があります。
8312-0	いろいろなタイプが投資信託にはある。
8312-1	投資信託にはいろいろなタイプがある。
8313-0	デッドニングやＬＥＤテープでカスタマイズするのが最近は面白かったりします。
8313-1	最近はデッドニングやＬＥＤテープでカスタマイズするのが面白かったりします。
8315-0	心の窓が鬱のせいで今は曇っているだけです。
8315-1	今は鬱のせいで心の窓が曇っているだけです。
8317-1	スペインにて執筆活動を開始。
8317-0	執筆活動をスペインにて開始。
8318-1	アタシはもっとシンジと
8318-0	もっとアタシはシンジと
8319-0	既存の作品を昨年は応募したのですが
8319-1	昨年は既存の作品を応募したのですが
8322-1	詳しいプロフは下のサイトでどうぞ。
8322-0	下のサイトで詳しいプロフはどうぞ。
8329-0	花成に植物養分が及ぼす影響。
8329-1	植物養分が花成に及ぼす影響。
8341-0	愛媛県松山市内で鬼怒川水害の義援金募金活動をローカルヒーロー・マツヤマンが行いました
8341-1	ローカルヒーロー・マツヤマンが愛媛県松山市内で鬼怒川水害の義援金募金活動を行いました
8343-0	節電補助金で蓮舫議員が汚職？
8343-1	蓮舫議員が節電補助金で汚職？
8345-1	新しいビジネスモデルで業界をリードするカリスマＦＰ
8345-0	業界を新しいビジネスモデルでリードするカリスマＦＰ
8352-1	端部分は少し硬めですが
8352-0	少し端部分は硬めですが
8363-1	可愛くって何回も見ちゃいました。
8363-0	何回も可愛くって見ちゃいました。
8366-1	お褒めのお言葉をたくさんいただきました。
8366-0	たくさんお褒めのお言葉をいただきました。
8367-0	全部最終的には８０以上だと胸晴れそう。
8367-1	最終的には全部８０以上だと胸晴れそう。
8368-0	一番中国人民網日本語版の記事が詳しいようなのでそこから引用します。
8368-1	中国人民網日本語版の記事が一番詳しいようなのでそこから引用します。
8372-0	何が管理者はしたかったんでしょうね。
8372-1	管理者は何がしたかったんでしょうね。
8373-0	縁が自分には無いのでよーわからんですが。
8373-1	自分には縁が無いのでよーわからんですが。
8374-0	コピーや配布がオンラインデータは容易である。
8374-1	オンラインデータはコピーや配布が容易である。
8376-1	これ以上は無駄だと悟ったらしい。
8376-0	無駄だとこれ以上は悟ったらしい。
8384-1	これからどんどん寒くなるのにどうしようって感じ。
8384-0	どんどんこれから寒くなるのにどうしようって感じ。
8386-0	その気になかなかなってくれないいちご。
8386-1	なかなかその気になってくれないいちご。
8390-0	たくさん家族サービスを休日はされたんですね。
8390-1	休日はたくさん家族サービスをされたんですね。
8395-0	荒稼ぎをグルでしているのです。
8395-1	グルで荒稼ぎをしているのです。
8399-0	大学へ誰も彼もが行かなくちゃいけないなんてこと
8399-1	誰も彼もが大学へ行かなくちゃいけないなんてこと
8401-1	駅到着の時点で既に遅刻が決定。
8401-0	遅刻が駅到着の時点で既に決定。
8405-0	世にこんな薬を送ってくれてありがとう！
8405-1	こんな薬を世に送ってくれてありがとう！
8407-0	全然長谷部レベルでもだめだろ
8407-1	長谷部レベルでも全然だめだろ
8417-0	そこまではなかなかまあ行かないけど。
8417-1	まあそこまではなかなか行かないけど。
8418-0	ヘルプを弟のお嫁ちゃんに頼む。
8418-1	弟のお嫁ちゃんにヘルプを頼む。
8419-1	他の男ともにこにこ話して
8419-0	にこにこ他の男とも話して
8420-0	常連さんグッズ置き場と棚は化していた
8420-1	棚は常連さんグッズ置き場と化していた
8423-0	スナップボタンでさらに留められる安心の間口です。
8423-1	さらにスナップボタンで留められる安心の間口です。
8424-0	保護観察司がそこへたずねてきたそうです。
8424-1	そこへ保護観察司がたずねてきたそうです。
8427-0	とっても捻挫には効くそうです。
8427-1	捻挫にはとっても効くそうです。
8428-0	マイホームＨＯＭＥ’Ｓに児湯郡西米良村の不動産はおまかせ！
8428-1	児湯郡西米良村の不動産はマイホームＨＯＭＥ’Ｓにおまかせ！
8439-0	他にはこれほどまでに条件の整った有名難関大学はないですよ！
8439-1	これほどまでに条件の整った有名難関大学は他にはないですよ！
8440-0	行動にそれが繋がらなくても。
8440-1	それが行動に繋がらなくても。
8444-0	北欧食器もここ一年で増えました。
8444-1	ここ一年で北欧食器も増えました。
8452-0	こんな子供が個人的にはほしいです！！！
8452-1	個人的にはこんな子供がほしいです！！！
8453-1	帰りはほぼ最終でした。
8453-0	ほぼ帰りは最終でした。
8454-0	元々ジャニーズの人でお金持ちの人ってだれ？
8454-1	ジャニーズの人で元々お金持ちの人ってだれ？
8457-0	とても秋冬をイメージしたレッドの色合いでかわいいです。
8457-1	秋冬をイメージしたレッドの色合いでとてもかわいいです。
8459-1	ブラック・ナチュラル・ホワイト色は完売になりました。
8459-0	完売にブラック・ナチュラル・ホワイト色はなりました。
8460-0	茂木刑事がボコボコにチンピラにされた橋の下
8460-1	茂木刑事がチンピラにボコボコにされた橋の下
8462-0	いろいろｖｉｐのほうに書いてるよ
8462-1	ｖｉｐのほうにいろいろ書いてるよ
8464-0	どれだけＱ．Ｔｗｉｔｔｅｒやってないと人生損？
8464-1	Ｑ．Ｔｗｉｔｔｅｒやってないとどれだけ人生損？
8465-1	そろそろ野菜でも育てるか
8465-0	野菜でもそろそろ育てるか
8468-1	右手にはワカメと茗荷をのせました。
8468-0	ワカメと茗荷を右手にはのせました。
8469-0	プライド高そうで顔は分からんが面倒臭そう
8469-1	顔は分からんがプライド高そうで面倒臭そう
8470-0	随分とこれでも譲歩してるんだろうね
8470-1	これでも随分と譲歩してるんだろうね
8474-0	荷物が帰りはいつも重たいんです。
8474-1	帰りはいつも荷物が重たいんです。
8481-0	お笑い番組が我が家のＤＶＤレコーダーにいっぱ〜いなんで…。
8481-1	我が家のＤＶＤレコーダーにお笑い番組がいっぱ〜いなんで…。
8482-1	代打谷選手が四球を選んで２死１・２塁のチャンス
8482-0	四球を代打谷選手が選んで２死１・２塁のチャンス
8489-0	家に多分いる。
8489-1	多分家にいる。
8490-0	最も世界で売れているコーヒーのお酒でございます。
8490-1	世界で最も売れているコーヒーのお酒でございます。
8492-0	既にＣＳＶのファイルがもし開けていて
8492-1	もしＣＳＶのファイルが既に開けていて
8497-0	言えよ本人に直接カス！！
8497-1	本人に直接言えよカス！！
8500-0	もうペガサスも１０歳。
8500-1	ペガサスももう１０歳。
8502-0	まだ今は習熟度別の授業も珍しくはなくなったようだが徹底していないよね
8502-1	今は習熟度別の授業も珍しくはなくなったようだがまだ徹底していないよね
8505-1	去年からずっと欲しかったキャビネットを買いました。
8505-0	ずっと去年から欲しかったキャビネットを買いました。
8510-1	やっぱり不安だからフリー・ダイアルに問い合わせてみました。
8510-0	フリー・ダイアルにやっぱり不安だから問い合わせてみました。
8516-1	まだ北朝鮮の方がマシに見える。
8516-0	北朝鮮の方がマシにまだ見える。
8519-0	ドラえもんの道具におれには見えたねナイスエレベーター様
8519-1	おれにはドラえもんの道具に見えたねナイスエレベーター様
8523-1	ランナーの約１割が接触経験ありと言っているくらいだからな。
8523-0	接触経験ありとランナーの約１割が言っているくらいだからな。
8524-1	通常は生薬の重さの１０〜２０倍量が目安です。
8524-0	生薬の重さの１０〜２０倍量が通常は目安です。
8528-0	アイテム４人くらいやっぱり上条さんレベルなら易々攻略してしまうのか
8528-1	やっぱり上条さんレベルならアイテム４人くらい易々攻略してしまうのか
8529-1	生地や資材は全て現行品を使用していますが
8529-0	現行品を生地や資材は全て使用していますが
8531-0	３０００を評価が超えていることからも
8531-1	評価が３０００を超えていることからも
8533-0	その道をいつも私は通っている。
8533-1	私はいつもその道を通っている。
8538-0	良い出品者とキティ９１１５さんはＫ．シュンさんを評価しました。
8538-1	キティ９１１５さんはＫ．シュンさんを良い出品者と評価しました。
8543-0	ロシグリタゾン糖尿病薬のリスク緩和対策ＲＥＭＳをＦＤＡが不要とした
8543-1	ＦＤＡがロシグリタゾン糖尿病薬のリスク緩和対策ＲＥＭＳを不要とした
8550-1	日曜のパン教室でウインナーロールに挑戦しました。
8550-0	ウインナーロールに日曜のパン教室で挑戦しました。
8551-1	注文してから到着まではやかったです。
8551-0	到着まで注文してからはやかったです。
8554-0	楽器をもっとみんな大切にして欲しいと思いました。
8554-1	みんなもっと楽器を大切にして欲しいと思いました。
8560-0	ポリ袋がなぜかたまる
8560-1	なぜかポリ袋がたまる
8563-0	もっと力を終章は入れて欲しかった。
8563-1	終章はもっと力を入れて欲しかった。
8566-0	個人輸入に抵抗がちょっとあった方はゲッコー・アンド・カンパニーの
8566-1	個人輸入にちょっと抵抗があった方はゲッコー・アンド・カンパニーの
8570-1	警察も把握はしているようですが。
8570-0	把握は警察もしているようですが。
